,Title,Actual_Price,Selling_Price,Model Name,Color,Headphone Type,Inline Remote,Sales Package,Connectivity,Headphone Design,Accessories Included
144,"PTron Basspods P81 Pro Bluetooth Headset  (White, True Wireless)","₹3,999","₹1,749",Basspods P81 Pro,White,True Wireless,Yes,"1 earbud , user manual ,warranty card",Bluetooth,Earbud,"USB Charging Cable, User Manual, Charging Case"
145,"PTron Basspods Flare, 40ms Gaming TWS Earbuds, 35hrs Playtime, Clear Calls & Deep Bass Bluetooth Headset  (Black, In the Ear)","₹3,199",₹899,Basspods Flare,Black,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide QR Card and 2 Pair of Extra Eartips",Bluetooth,Earbud,
146,"Portronics Harmonics Twins S3 Blurtooth Earbuds with upto 20 Hours Playback, 8mm Drivers Bluetooth Headset  (White, True Wireless)","₹1,999","₹1,499",Harmonics Twins S3,White,True Wireless,Yes,"Earbuds 1N, Charging Case 1N, Charging Cable 1N, User Manual 1N",Bluetooth,Earbud,"Charging Case, USB Charging Cable"
147,"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, IPX5, and Unique Flybird Design Bluetooth Headset  (Pearl White, True Wireless)","₹2,999",₹999,Buds VS102 Truly Wireless,Pearl White,True Wireless,No,"1N Bluetooth Headphone, 1N Charging Case, 1N Charging Cable, 1N User Manual, 1N Warranty Registration Card",Bluetooth,Earbud,
148,"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Golden Red, True Wireless)","₹7,499","₹2,685",S2DMW-P752,Golden Red,True Wireless,Yes,"Dime True Wireless Earbuds, Charging Case, Ear Gels (S, M, L) Micro- USB Charging Cable, User Guide",Bluetooth,Earbud,"USB Charging Cable, Charging Case"
149,"PTron InTunes Beats Bluetooth Headset  (Black, Red, In the Ear)","₹2,499",₹849,InTunes Beats,"Black, Red",In the Ear,Yes,1 Unit,Bluetooth,Magnetized Buds,
150,"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, IPX5, and Unique Flybird Design Bluetooth Headset  (Celeste Blue, True Wireless)","₹2,999","₹1,199",Buds VS102 Truly Wireless,Celeste Blue,True Wireless,No,"1 Pair Earbuds, Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
151,"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Blue, In the Ear)","₹2,699",₹983,InTunes Ultima,"Black, Blue",In the Ear,Yes,"1*Headphone, 1*Charging Cable, 1*User Manual, Extra Eartips",Bluetooth,Behind the Neck,
152,"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast Charge Bluetooth Headset  (Midnight Blue, True Wireless)","₹3,499","₹1,099",Buds VS202 Truly Wireless,Midnight Blue,True Wireless,No,"1N Bluetooth Headphone, 1N Charging Case, 1N Charging Cable, 1N User Manual, 1N Warranty Registration Card",Bluetooth,Earbud,
153,"ZEBRONICS Zeb- Bro Plus Wired Headset  (Black, In the Ear)",₹349,₹298,Zeb- Bro Plus,Black,In the Ear,Yes,1 Earphone,Wired,Canalphone,
154,"Noise Buds Combat with 45 Hours Playtime, Ultra-low Latency(40ms), Quad Mic ENC Gaming Bluetooth Headset  (Shadow grey, True Wireless)","₹3,999","₹1,799",Buds Combat,Shadow grey,True Wireless,No,"1 Pair Earbuds, Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
155,"Skullcandy Indy Evo Bluetooth Headset  (Black, True Wireless)","₹12,999","₹6,499",Indy Evo,Black,True Wireless,Yes,"Earbuds, USB Charging Cable, User Guide",Bluetooth,Earbud,
156,"Portronics Harmonics X1 Sports Bluetooth Headset  (Black, In the Ear)","₹1,999","₹1,445",Harmonics X1 Sports,Black,In the Ear,Yes,"1 Headset 1N, Charging Cable 1N, Documentation 1N",Bluetooth,Behind the Neck,USB Charging Cable
157,"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (White, True Wireless)","₹5,999",₹999,AirBass GearPods,White,True Wireless,Yes,1 Pair of Earbuds Charging Case Type-C charging cable Instruction Manual,Bluetooth,Earbud,
158,"Portronics HARMONICS RWINS S3 Smart TWS Bluetooth 5.2 Earbuds with 20 Hrs Playtime Bluetooth Headset  (Black, In the Ear)","₹1,999","₹1,299",HARMONICS RWINS S3 Smart TWS Bluetooth 5.2 Earbuds with 20 Hrs Playtime,Black,In the Ear,No,1 EARBUD,Bluetooth,Earbud,Charging Case
159,"ZEBRONICS 8 bit Gaming Headphone Wired Gaming Headset  (Black, On the Ear)","₹1,999",₹949,8 bit Gaming Headphone,Black,On the Ear,No,1 Headphone,Wired,,
160,"Portronics Conch 80 In Ear Wired Headset  (Red, In the Ear)",₹599,₹589,Conch 80 In Ear,Red,In the Ear,Yes,1N Earphone,Wired,Earbud,
161,"Skullcandy Cassette Wireless Bluetooth Headset  (Black, On the Ear)","₹3,999","₹2,699",Cassette Wireless,Black,On the Ear,Yes,"Headphone, USB Charging Cable, User Manual",Bluetooth,Over the Head,
162,"ZEBRONICS ZEB-HARK Wired Headset  (Black, In the Ear)",₹349,₹270,ZEB-HARK,Black,In the Ear,Yes,1 earphone,Wired,Canalphone,
163,"Noise Beads with 18hrs of playtime, HyperSync, IPX5 and Bluetooth v5.1 Bluetooth Headset  (Onyx Black, True Wireless)","₹3,499","₹1,399",Beads Truly Wireless,Onyx Black,True Wireless,Yes,"1 Headphone, Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
164,"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (Black, True Wireless)","₹4,999","₹1,499","Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",Black,True Wireless,No,"1 Pair of Earbuds, Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
165,"PTron Basspods P251+, 50Hrs Playback, 12mm Driver, ENC, Movie Mode Bluetooth Headset  (White, True Wireless)","₹3,999",₹999,Basspods P251+,White,True Wireless,Yes,"Basspods P11 Earbuds, Charging Case, Additional Earbuds, Charging Cable, User Guide Card",Bluetooth,Earbud,"Charging Case, USB Charging Cable, User Manual"
166,"Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset  (Blue, True Wireless)","₹4,999",₹999,XPods,Blue,True Wireless,Yes,"1 Pair of Earphones, Charging case, Pair of ear buds, Type-C charging cable, User Manual",Bluetooth,Earbud,
167,"ZEBRONICS ZEB-CALYX earphone Wired Headset  (Black, In the Ear)",₹399,₹280,ZEB-CALYX earphone,Black,In the Ear,Yes,one wired earphone,Wired,,
168,"ZEBRONICS ZEB-CALYX Wired Headset  (White, In the Ear)",₹399,₹299,ZEB-CALYX,White,In the Ear,Yes,1,Wired,Canalphone,Pouch
169,"Boult Audio Airbass XPods Pro with 20 hrs Playtime, Type-C Bluetooth Headset  (White, True Wireless)","₹5,999","₹1,499",Airbass XPods Pro,White,True Wireless,No,"1 Pair of Earbuds, Charging Case, Additional Pair of Eartips, Charging Cable, User Manual",Bluetooth,Earbud,
170,"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast Charge Bluetooth Headset  (Mint Green, True Wireless)","₹3,499","₹1,099",Buds VS202 Truly Wireless,Mint Green,True Wireless,No,"1N Bluetooth Headphone, 1N Charging Case, 1N Charging Cable, 1N User Manual, 1N Warranty Registration Card",Bluetooth,Earbud,
171,"Skullcandy Indy Evo True Bluetooth Headset  (Pure mint, True Wireless)","₹12,999","₹5,899",Indy Evo True,Pure mint,True Wireless,Yes,"Earbuds, USB Charging Cable, User Manual",Bluetooth,Earbud,
172,"Noise Beads with 18hrs of playtime, HyperSync, IPX5 and Bluetooth v5.1 Bluetooth Headset  (Pearl White, True Wireless)","₹3,499","₹1,399",Beads Truly Wireless,Pearl White,True Wireless,Yes,"1 Headphone, Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
173,"ZEBRONICS Zeb Sound Bomb 6 Bluetooth Headset  (Black, True Wireless)","₹2,999","₹2,145",Zeb Sound Bomb 6,Black,True Wireless,No,"1N Charging Case, 1 Pair Of Earbuds, 1N Charging Cable",Bluetooth,Ear Clip,
174,"Skullcandy Grind True Wireless Earbuds, Voice Control Bluetooth Headset  (Black, In the Ear)","₹12,999","₹6,999","Grind True Wireless Earbuds, Voice Control",Black,In the Ear,No,"Grind Fuel True Wireless Earbuds Wireless Charging Case Ear Gels (S, M, L) USB-C Charging Cable User Guide 1-Year Limited Warranty",Bluetooth,Earbud,
