,Title,Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Series,Form Factor,Connectivity Technology,Connectivity technologies,Mounting Hardware,Wireless communication technologies,Connectivity Type
205,"Mivi ThunderBeats 2 Upgraded Audio Bluetooth Wireless in Ear Earphones with Superior Sound, Powerful Bass, 14 Hours Playtime, Comfortable Fit, Bluetooth 5.0 | Headphones with Mic (Red)","1,006",Mivi,ThunderBeats 2,Red,In Ear,Wireless,,,,,,,,,,,
206,"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Red)",499,JBL,C,Red,In Ear,Wired,,,,,,,,,,,
207,"Boult Audio Newly Launched XCharge with ENC Mic, 20H Playtime, Biggest 14.2mm Bass Drivers, Type-C Fast Charging (15Mins=15Hrs), Made in India Neckband Probass Bluetooth Wireless Earphones (Black)",899,Boult Audio,ProBass Xcharge,Black,In Ear,Wireless,,,,,,,,,,,
208,"Sony WH-XB910N Extra Bass Noise Cancelling Bluetooth Wireless Over Ear Headphones with Alexa Voice Control, Fast Pair, 30Hr Battery | Instant Bank Discount of INR 2000 on Select Prepaid transactions","14,399",Sony,WH-XB910N,Blue,Over Ear,Bluetooth,,,,,,,,,,,
209,"Mivi Collar Flash Bluetooth Wireless in Ear Earphones,24 Hours Battery Life, Booming Bass, IPX4 Sweat Proof, Passive Noise Cancellation, Bluetooth 5.0 with mic (Gray)",699,Mivi,Collar Flash,Grey,In Ear,Wireless,,,,,,,,,,,
210,Jabra Enterprise Store Evolve2 40 UC Wired On Ear Headphone with Mic (Black),"11,950",Jabra,Evolve2 40,Black,On Ear,Wired,,,,,,,,,,,
211,"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","3,999",BoAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0,,,,,,,,,,,
212,"Mivi Collar 2B Bluetooth Wireless in Ear Earphones, 24 Hours Playtime, IPX7 Water Proof, Booming Bass, Magnetic Buds, Bluetooth 5.0 with mic (Orange)",999,Mivi,Collar 2B,Orange,In Ear,Wireless,,,,,,,,,,,
213,"Mivi DuoPods A350 Earbuds- 50hrs Playtime * *New Launch** True Wireless Earbuds with Rich Bass,13mm Dynamic Drivers, Fast Charging, Made in India, Half in Ear, Metallic Shades, Voice Assistant- Grey","1,299",Mivi,Duopods A40,Space Green,,,,,,,,In Ear,,Wireless,,,
214,"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)",827,RUNMUS GAMING,K8,Black,Over Ear,Wired,,,,,,,,,,,
215,"GoSale Wireless Bluetooth Headphones Earphones for Samsung Galaxy F12 / F 12 Earphone Bluetooth Wireless Neckband Flexible In-Ear Headphones Headset With Mic, Extra Deep Bass Hands-Free Call/Music, Sports Earbuds, Sweatproof (HBS2, Multi)",,GoSale,,Multicolour,In Ear,Wireless,Bluetooth,,,,,,,,,,
216,Jabra Evolve2 65 Link380a MS Bluetooth Wireless On Ear Headphone with Mic (Black),"27,000",Jabra,,Black,On Ear,Wireless,Bluetooth,,,,,,,,,,
217,"boAt Rockerz 550 Bluetooth Wireless Over Ear Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation with Mic (Black Symphony)","1,799",BoAt,Rockerz 550,Black Symphony,Over Ear,Bluetooth 5.0,,,,,,,,,,,
218,"Logitech H390 Wired Headset, Stereo Headphones with Noise-Cancelling Microphone, USB, in-Line Controls, PC/Mac/Laptop - Black","3,964",Logitech,H390 Headset,Black,On Ear,Wired,,,,,,,,,,,
219,"UBON Headphones Bluetooth Earphone CL-5610 Platinum Series, Wireless Neckband with Up to 25 Hours Playtime, TF Card Slot, Magnetic Earbuds, v5.0 Bluetooth Headset for Hi-Fi Music & Super Bass",841,UBON,CL-5610,Multi,In Ear,Wireless,,,,,,,,,,,
220,"Bluetooth Earphones for OnePlus 9 Pro Earphone Original Like 35 Hours Playtime Bluetooth Wireless Neckband Flexible In-Ear Headphones Headset With Mic, Extra Deep Bass Hands-Free Call/Music, Sports Earbuds, Sweatproof (L322, Multi)",599,GoSale,,Multi-coloured,In Ear,Wireless,Bluetooth,,,,,,,,,,
221,Jabra Evolve 40 MS Wired Bluetooth On Ear Headphone with Mic (Black),"10,450",Jabra,Jabra EVOLVE 40 MS Stereo wired USB headset,Black,On Ear,USB,,,,,,,,,,,
222,"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","3,999",BoAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0,,,,,,,,,,,
