,Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Form Factor,Connectivity technologies,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Style,Connectivity Technology,Wireless communication technologies,Age Range (Description),Connectivity Type,Mounting Hardware,Series,Compatible Devices,Specific Uses For Product,Material,Fabric Type,Weight,Size,Item Dimensions LxWxH,Number of Batteries
425,"Boult Audio X1 Buds True Wireless in Ear Earbuds with 24H Playtime, Quad Mic ENC, Made in India, Type-C Fast Charging, Environmental Noise Cancellation, 10mm Bass Drivers, TWS Airbass ear buds (White)","₹6,999","1,799",Boult Audio,Bassbuds,White,In Ear,Bluetooth 5.1,,,,,,,,,,,,,,,,,,,,,
426,Meyaar Sunshine YS for Headset Earphone with High Bass Clear Mic for Calling with 3.5 mm Jack Earphone for Android Mobiles Wired Headset with Mic,NaN,199,Meyaar,,White,In Ear,wired usb,,,,,,,,,,,,,,,,,,,,,
427,"pTron Tangent Duo Made in India Bluetooth 5.2 Wireless in-Ear Earphones with Mic, 24Hrs Playback, 13mm Drivers, Punchy Bass, Fast Charging Neckband, Voice Assistant, IPX4 & in-line Controls (Black)","₹1,899",499,PTron,Tangent,Black,In Ear,Bluetooth 5.2,,,,,,,,,,,,,,,,,,,,,
428,"Zebronics Zeb-BRO+ in Ear Wired Earphone with Mic, 3.5mm Jack 1.2meter Cable, Multi Function Button 14mm Driver",₹349,249,ZEBRONICS,Zebronics ZEB-BRO+,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
429,"(Renewed) boAt 100 Wireless On-Neck Bluetooth V5.0 Earphones with Flexible & Lightweight Design,Upto 30 Hours Battery Time, IPX 4 Sweat and Water Resistance & Integrated Controls with in-Built mic(Green)",NaN,,boAt,,Green,On Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
430,"boAt Rockerz 550 Over Ear Bluetooth Headphones (Black) & Airdopes 141 Bluetooth Truly Wireless Earbuds with Upto 42H Playtime, Beast Mode Low Latency Upto 80ms for Gaming, ENx Tech, ASAP Charge",NaN,,boAt,,Black,"Over Ear, In Ear",Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
431,"(Renewed) boAt Rockerz 261 Bluetooth Headset (Raging Red, In the Ear)",NaN,"1,499",boAt,,Red,,,In Ear,,,,,,,Wireless,,,,,Renew Boat Rockerz Headset-cr,,,,,,,,
432,"Noise Newly Launched Xtreme in-Ear Wireless Neckband with 100 + Hours of Playtime, Instacharge, ESR, Hyper Sync, Dual Pairing, Low Latency, 10mm Driver, and Bluetooth v5.2, with Mic (Thunder Black)","₹3,999","1,999",Noise,Noise Xtreme,Thunder Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
433,"boAt Airdopes 441 Pro True Wireless in Ear Earbuds with mic, Upto 150 Hours Playback, Signature Sound, IWP Technology, IPX7, BT v5.0, Type-c Interface and Capacitive Touch Controls(Spirit Lime)","₹6,990","2,999",boAt,Airdopes 441 Pro,Spirit Lime,In Ear,Bluetooth 5.0,,,,,,,,,,,,,,,,,,,,,
434,Jabra Evolve 65t Truly Wireless Bluetooth In Ear Headphone with Mic (Black),"₹39,449","12,990",Jabra,Evolve 65t,Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
435,"Meyaar SPN Music Headset 10 pack Made in India Series Earbuds for Kids 10 Pack, Wholesale Earbuds Headphones Earphones for Classroom, School, Library, Computer Lab, Museums, Students and Adult packs (10 Pack)","₹1,999",759,Meyaar,,Black,In Ear,wired usb,,,,,,,,,,,,,,,,,,,,,
436,"Portronics Harmonics X1 in-Ear Wireless Bluetooth 5.0 Sports Headset with Powerful Audio Output, 15 Hrs Playtime, with Mic, Magnetic Earbuds, Type C Charging (Black)","₹1,999",849,Portronics,Harmonics X1,Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
437,Jabra Store Evolve 30 Wired On Ear Headphone with Mic (Black),"₹18,500","7,900",Jabra,Evolve 30,black,On Ear,Wired,,,,,,,,,,,,,,,,,,,,,
438,"ZEBRONICS Zeb-Sound Bomb N2 TWS Wireless in Ear Earbuds with 50ms Low Latency Gaming, ENC, Voice Assistant, Flash Connect, Splash Proof, BT v5.2, up to 12H Backup, Call Function and Type C (Red)","₹4,199","1,099",ZEBRONICS,ZEB-SOUND BOMB N2 (Red),Red,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
439,Jabra SPORT PACE Wireless Bluetooth Earbuds- Retail Packaging - Blue,"₹22,851","17,851",Jabra,,Blue,,,In Ear,Wireless,,,,,,,Bluetooth,,,,,,,,,,,,
440,"boAt Rockerz 103 Pro Bluetooth in Ear Neckband with Beast Mode(40ms Low Latency), ENx Tech, ASAP Charge(Fast Charge), Upto 20HRS Playback, Signature Sound, BT v5.3 & IPX4(Active Black)","₹2,490","1,199",boAt,Rockerz 103 Pro,Active Black,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
441,(Renewed) boAt Airdopes 441 Bluetooth Truly Wireless In Ear Earbuds with Mic (Active Black),NaN,,boAt,Airdopes 441,Active Black,In Ear,"Wireless, Bluetooth v5.0",,,,,,,,,,,,,,,,,,,,,
442,Skullcandy Jib (S2DUY-L676) Wired In Ear Earphone with Mic (Black/Red),"₹1,999",820,Skullcandy,Jib with Mic,black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
443,"Portronics Harmonics 240 Retractable in-Ear Wireless Stereo Headset with Faster & Stable Connectivity (Black, with Mic)","₹2,999","2,339",Portronics,Harmonic 200,Black,In Ear,"Wireless, Bluetooth 4.1",,,,,,,,,,,,,,,,,,,,,
444,boAt Bassheads 152 in Ear Wired Earphones with Mic(Jazzy Blue),"₹1,290",499,boAt,Bassheads 152,Jazzy Blue,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
445,"Skullcandy Hesh Evo Wireless Over-Ear Bluetooth Headphones for iPhone and Android with Mic / 36 Hour Battery Life/Great for Music, School, Workouts, and Gaming/Compact Travel Design - Black","₹14,999","8,448",Skullcandy,Hesh Evo,Black,Over Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
446,"Meyaar Stereo Headset Q1 Hi-Fi Audio Wired Earphones with Immersive Audio, Multi-Function Button, in-line Microphone & Perfect Length Tangle Free Cable (White)",₹999,199,Meyaar,,White,In Ear,wired usb,,,,,,,,,,,,,,,,,,,,,
447,"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, with Mic, 8MM Drivers, Battery Indicators, Lightweight Earbuds & Multifunction Controls(Midnight Blue)","₹2,990","1,299",boAt,Airdopes 145,Midnight Blue,In Ear,Bluetooth 5.0,,,,,,,,,,,,,,,,,,,,,
448,"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing, BT v5.0, with Mic (Active Black)","₹3,990","1,299",boAt,Rockerz 255 Pro+,Active Black,In Ear,Bluetooth 5.0,,,,,,,,,,,,,,,,,,,,,
449,Meyaar [Pack of 2 SPN.SP-29 Ultra High Bass Perfume Wired in-Ear Earphones (2 White),₹999,199,Meyaar,SP-29,White (2 Pack),In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
450,Meyaar Alpha-2 Ultralight Weight Wired On Ear Headphones with Mic (Green Black),"₹1,499",399,Meyaar,Alpha-2,Green Black,On Ear,Wired,,,,,,,,,,,,,,,,,,,,,
