Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
"Wings Phantom 550, Gaming TWS Earbuds, 45hr Playtime, Touch Controls Bluetooth Gaming Headset  (Blue, True Wireless)",2999.0,1299.0,Wings,Phantom 550,Blue,In Ear,Bluetooth
"ZEBRONICS Zeb-Bang Pro Bluetooth Headset  (Orange, On the Ear)",2499.0,1199.0,ZEBRONICS,Zeb-Bang Pro,Orange,On Ear,Bluetooth
"Skullcandy Jib Headset with mic  (Black, In the Ear)",999.0,799.0,Skullcandy,S2DUYK-343,Black,In Ear,Wired
"Wings Phantom Gaming TWS with 50ms Low Latency Bluetooth 5.3 Headset Bluetooth Gaming Headset  (White, True Wireless)",4999.0,1199.0,Wings,Phantom Gaming TWS with 65 ms Latency Bluetooth Headset,White,In Ear,Bluetooth
"ZEBRONICS ZEB-BRO Wired Headset  (Green, In the Ear)",399.0,308.0,ZEBRONICS,ZEB-BRO,Green,In Ear,Wired
"boAt Rockerz 255F Pro with ASAP Charge and upto 10 Hours Playback Bluetooth Headset  (Active Black, In the Ear)",3499.0,1399.0,boAt,Rockerz 255F Pro / Rockerz 255 Pro,Active Black,In Ear,Bluetooth
"Noise Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5 Bluetooth Headset  (Charcoal Black, True Wireless)",7999.0,2999.0,Noise,"Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",Charcoal Black,In Ear,Bluetooth
"ZEBRONICS Zeb-Iron Head Wired Gaming Headset  (Black, On the Ear)",2799.0,1049.0,ZEBRONICS,Zeb-Iron Head,Black,On Ear,Wired
"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)",4999.0,999.0,Boult,ProBassXcharge Black,Black,In Ear,Bluetooth
"Skullcandy Sesh Evo Bluetooth Headset  (Bleached Blue, True Wireless)",7999.0,4799.0,Skullcandy,Sesh Evo,Bleached Blue,In Ear,Bluetooth
"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Grey, In the Ear)",2699.0,999.0,PTron,InTunes Ultima,"Black, Grey",In Ear,Bluetooth
"Wings Phantom 850 Wireless Earbuds, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (White, In the Ear)",2999.0,1499.0,Wings,Phantom 850,White,In Ear,Bluetooth
"PTron Pride Lite HBE in-Ear Wired Headphones ( Blue ) Wired Headset  (Blue, In the Ear)",849.0,399.0,PTron,Pride Lite HBE in-Ear Wired Headphones ( Blue ),Blue,In Ear,Wired
"Wings Vader 200 Wired Gaming Headset  (Black, On the Ear)",2199.0,1299.0,Wings,Vader 200,Black,On Ear,Wired
"Skullcandy Ink'd Plus Wired Headset  (Black, In the Ear)",1765.0,1072.0,Skullcandy,S2IMY-M448,Black,In Ear,Wired
"Wings Bass Drops 101 with Environmental Noise Cancellation, 30 hours Playtime Bluetooth Headset  (White, True Wireless)",2999.0,1399.0,Wings,Bass Drops 101,White,In Ear,Bluetooth
"Skullcandy Crusher Evo Bluetooth Headset  (Black, On the Ear)",27999.0,16299.0,Skullcandy,Crusher Evo,Black,On Ear,Bluetooth
