product_link,Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Headphones form factor,Connector Type,Form Factor,Connectivity technologies,Material,Compatible Devices,Item Dimensions LxWxH,Connectivity Technology,Wireless Communication Technology,Special Feature,Mounting Hardware,Series,Included Components
https://www.amazon.in/Replacement-Headphone-Compatible-Headphones-High-Quality/dp/B09TDFQ891/ref=sxin_16_aspa_sqa?c_c=305688195&content-id=amzn1.sym.d6fc18b9-350a-43ef-bbf0-8a0340d151dd%3Aamzn1.sym.d6fc18b9-350a-43ef-bbf0-8a0340d151dd&crid=26YCJ7VB7YLJ4&cv_ct_cx=headphones&keywords=headphones&pd_rd_i=B09TDFQ891&pd_rd_r=b2f2f5bd-76ad-4352-9702-e585710d5752&pd_rd_w=sUiqf&pd_rd_wg=RSqcu&pf_rd_p=d6fc18b9-350a-43ef-bbf0-8a0340d151dd&pf_rd_r=963PWRM62AEV4T1WB0M1&qid=1684386792&refinements=p_89%3ASONY&rnid=3837712031&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C1567&sr=1-8-9e85f757-0438-470e-8160-8465beaa22d5,"Crysendo 70mm Protein Leather Cushions | Replacement Headphone Ear Pads | 1.5cm Thick Replacement Headphone Ear Pads| Compatible with Phi-lips SHL 3000, shb5500, SHB 3060 Headphones Cushion | High-Quality Protein Leather & Memory Foam Earpad (Black)",₹849,449,CRYSENDO,,sony CH 500,,,,,Faux Leather,Headphones,20 x 15 x 5 Centimeters,,,,,,
https://www.amazon.in/Meyaar-Beex-Microphone-Experience-Case/dp/B08QDSP5XP/ref=sr_1_101?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386815&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-101,Meyaar Beex Series Earphones with Super Heavy Bass 90%-Noise Isolating Earbuds with Microphone and Game Experience for All Headphone with Carry Case (Black),₹999,239,Meyaar,Meyaar-Made-in-India-with-Case,With Carry Case,In Ear,Wired,,,,,,,,,,,
https://www.amazon.in/Meyaar-Abhinandan-Earphones-Microphone-Headphones/dp/B095YV9T9W/ref=sr_1_77?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386812&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-77,"Meyaar Beex Abhinandan Wired Durable Metal Earphones Earbuds with Microphone & Deep Bass Clear Sound Noise Isolating in Ear Headphones, Stereo Ear Buds for Cell Phones, Laptop, Tablet (Metal White)",₹999,129,Meyaar,Abhinandan,Metal White,In Ear,Wired,,,,,,,,,,,
https://www.amazon.in/Meyaar-SPN-SP-29-Perfume-Headset-Earphone/dp/B09GDMHPZS/ref=sr_1_99?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386815&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-99,"Meyaar SPN.SP-29 [Combo of 2] Ultra High Bass Perfume Headset, Wired in-Ear Earphone with Mic (2 Black)",₹999,259,Meyaar,SP-29,Black (2 Pack),In Ear,Wired,,,,,,,,,,,
https://www.amazon.in/Launched-Bassbuds-Bluetooth-Headphones-Resistant/dp/B0C1PMDNHT/ref=sr_1_11?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386868&refinements=p_89%3APTron&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-11,"PTron Newly Launched Bassbuds Neo TWS Earbuds, HD Mic & TruTalk ENC Calls, Game/Music Modes, 13mm Driver, 35Hrs Playtime, Bluetooth 5.3 Headphones, Type-C Fast Charging & IPX5 Water Resistant (Blue)","₹3,199",899,pTron,Bassbuds,Blue,,,In Ear,,,,,Wireless,,,,,
https://www.amazon.in/ZEBRONICS-Yoga-N3-Bluetooth-Assistant/dp/B0BGRSFFWX/ref=sr_1_78?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386802&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-78,"ZEBRONICS Yoga N3 with 46 Hours Backup, Bluetooth v5.2 Wireless Neckband, ENC Calling, Gaming Mode (Upto 50ms), Voice Assistant, Dual Pairing, Splash Proof and Type C (Black)","₹3,499",999,ZEBRONICS,Zeb Yoga N3 - Black,Black,In Ear,Wireless,,,,,,,,,,,
https://www.amazon.in/boAt-Bluetooth-Headphones-Playback-Luscious/dp/B0BR53HDVD/ref=sr_1_117?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386791&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-117,"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback(Luscious Black) & Rockerz 255 Pro+ in-Ear Bluetooth Neckband & Rockerz 255 Pro+ in-Ear Bluetooth Neckband",NaN,,boAt,,Luscious Black,In Ear,वायरलस,,,,,,,Bluetooth,,,,
https://www.amazon.in/Zebronics-Playback-Assistant-Bluetooth-Sunset/dp/B0B2S1K4J7/ref=sr_1_52?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386800&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-52,"ZEBRONICS Jumbo with 160 H* Playback, ENC, Gaming Mode (Up to 50ms), Fast Charging 10min = 15H*, 1000mAh Built-in Battery, Dual Pairing, Voice Asst, BT v5.2, Bluetooth Wireless In Ear Neckband(Sunset)","₹4,199","1,499",ZEBRONICS,ZEB-YOGA 1 (Sunset),Sunset,In Ear,Bluetooth 5.2,,,,,,,,,,,
https://www.amazon.in/Skullcandy-Wireless-Resistant-Microphone-Assistant/dp/B08JCY3RZK/ref=sr_1_79?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386864&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-79,Skullcandy Spoke Truly Wireless Bluetooth in Ear Earbuds with Mic (Black),"₹7,999","2,799",Skullcandy,Spoke Earbuds,Black,In Ear,Bluetooth,,,,,,,,,,,
https://www.amazon.in/Zebronics-Bluetooth-Playtime-Assistant-Black/dp/B09Z7X33H1/ref=sr_1_53?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386800&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-53,"ZEBRONICS Sound Bomb 7 Bluetooth TWS in Ear Earbuds with 40H Playtime, ENC Mic, Rapid Charge, Upto 50ms Gaming Mode, Flash Connect, Voice Assistant, Smooth Touch Control, BT v5.2, Type C (Black)","₹4,299",999,ZEBRONICS,ZEB-SOUND BOMB 7 (Black),Black,In Ear,Bluetooth 5.2,,,,,,,,,,,
